image_id,ceramic_type,where_held,museum_no,source,page
BM20,tile,BM_London,no_OA+.10818,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=219267&partId=1&school=8148&page=1
BM22,tile,BM_London,no_OA+.10771.1-4,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=219312&partId=1&school=8148&page=1
BM24,tile,BM_London,no_OA+.14383,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=235925&partId=1&school=8148&page=2
BM25,tile,BM_London,"no_1878,1230.512",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=239220&partId=1&school=8148&page=2
BM26,plate,BM_London,no_G.22,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215493&partId=1&school=8148&page=2
BM27,tile,BM_London,no_G.79,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215462&partId=1&school=8148&page=2
BM29,plate,BM_London,no_G.146,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215440&partId=1&school=8148&page=2
BM32,tile,BM_London,no_OA+.10774.1-2,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=241528&partId=1&school=8148&page=2
BM34,tile,BM_London,"no_1892,0613.69",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=238595&partId=1&school=8148&page=2
BM38,tile,BM_London,no_OA+.10657.1-2,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=241607&partId=1&school=8148&page=3
BM39,plate,BM_London,"no_1878,1230.5",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=239233&partId=1&school=8148&page=3
BM40,plate,BM_London,no_G.42,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236589&partId=1&school=8148&page=3
BM41,tankard,BM_London,no_G.321,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215389&partId=1&school=8148&page=3
BM42,tankard,BM_London,no_G.59,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=183060&partId=1&school=8148&page=3
BM45,tile,BM_London,no_OA+.10773.1-3,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=219310&partId=1&school=8148&page=3
BM47,plate,BM_London,no_G.35,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236593&partId=1&school=8148&page=3
BM48,plate,BM_London,"no_1878,1230.49",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=239244&partId=1&school=8148&page=3
BM49,plate,BM_London,no_G.37,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215486&partId=1&school=8148&page=3
BM50,plate,BM_London,no_G.115,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215447&partId=1&school=8148&page=3
BM51,plate,BM_London,no_G.32,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215489&partId=1&school=8148&page=3
BM52,plate,BM_London,no_G.112,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215450&partId=1&school=8148&page=3
BM54,tile,BM_London,no_G.135,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236540&partId=1&school=8148&page=3
BM55,plate,BM_London,no_G.128,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215445&partId=1&school=8148&page=4
BM56_1,tile,BM_London,no_G.171,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236525&partId=1&school=8148&page=4
BM56_2,tile,BM_London,no_G.171,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236525&partId=1&school=8148&page=4
BM57,plate,BM_London,no_G.127,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236546&partId=1&school=8148&page=4
BM59,tile,BM_London,no_G.78,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215463&partId=1&school=8148&page=4
BM60,tile,BM_London,no_G.85,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=236571&partId=1&school=8148&page=4
BM61_1,tile,BM_London,no_G.77,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215464&partId=1&school=8148&page=4
BM61_2,tile,BM_London,no_G.77,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215464&partId=1&school=8148&page=4
BM62,basin,BM_London,no_G.66,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215472&partId=1&school=8148&page=4
BM63,tankard,BM_London,no_G.108,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215453&partId=1&school=8148&page=4
BM64,tankard,BM_London,no_G.154,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=215435&partId=1&school=8148&page=4
BM65,mosque lamp (detail),BM_London,"no_1887,0516.11887,0516.1",web,https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?assetId=34175001&objectId=239020&partId=1
DCC01,plate,David_Copenhagen,no_Isl183,web,https://www.davidmus.dk/en/collections/islamic/dynasties/ottomans/art/isl_183
FMC01,plate,Fitzwilliam_Cambridge,no_C.14-1950,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=71965
FMC02,tile,Fitzwilliam_Cambridge,no_C.29-1950,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17592
FMC03,tile,Fitzwilliam_Cambridge,no_C.6-1933,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17581
FMC04,tile,Fitzwilliam_Cambridge,no_C.120-1950,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17595
FMC05,tile,Fitzwilliam_Cambridge,no_C.5-1933,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17580
FMC06,plate,Fitzwilliam_Cambridge,no_C.20-1950,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=73009
FMC07,tile,Fitzwilliam_Cambridge,no_C.37-1935,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17587
FMC08,tile,Fitzwilliam_Cambridge,no_C.41-1924,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17574
FMC09,plate,Fitzwilliam_Cambridge,no_C.1779-1928,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=72600
FMC10,plate,Fitzwilliam_Cambridge,no_C.15-1950,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=72139
FMC11,plate,Fitzwilliam_Cambridge,no_C.32-1934,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=74522
FMC12,plate,Fitzwilliam_Cambridge,no_C.569-1991,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=75544
FMC13,plate,Fitzwilliam_Cambridge,no_MAR.C.113-1912,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=77359
FMC14,plate,Fitzwilliam_Cambridge,no_C.1777-1928,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=72599
FMC15,plate,Fitzwilliam_Cambridge,no_C.72-1911,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=75923
FMC16,plate,Fitzwilliam_Cambridge,no_C.34-1950,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=74610
FMC17,tile,Fitzwilliam_Cambridge,no_OC.180-1946,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17589
FMC18,tile,Fitzwilliam_Cambridge,no_C.3-1929,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17579
FMC19,tile,Fitzwilliam_Cambridge,no_C.1775-1928,web,http://webapps.fitzmuseum.cam.ac.uk/explorer/index.php?qu=iznik&oid=17576
GMBC01,plate,Burrell_Glasgow,no_41.1,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39482;type=101
GMBC02,plate,Burrell_Glasgow,no_41.1O,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39214;type=101
GMBC03,plate,Burrell_Glasgow,no_41.11,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39192;type=101
GMBC04,plate,Burrell_Glasgow,no_41.13,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39389;type=101
GMBC05,plate,Burrell_Glasgow,no_41.14,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39290;type=101
GMBC06,plate,Burrell_Glasgow,no_41.15,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39267;type=101
GMBC07,plate,Burrell_Glasgow,no_41.16,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39365;type=101
GMBC08,plate,Burrell_Glasgow,no_41.18,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39497;type=101
GMBC09,plate,Burrell_Glasgow,no_41.2,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39206;type=101
GMBC10,plate,Burrell_Glasgow,no_41.23,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=40347;type=101
GMBC11,plate,Burrell_Glasgow,no_41.24,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=40140;type=101
GMBC12,plate,Burrell_Glasgow,no_41.25,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39700;type=101
GMBC13,plate,Burrell_Glasgow,no_41.26,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39886;type=101
GMBC14,plate,Burrell_Glasgow,no_41.3,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39224;type=101
GMBC15,plate,Burrell_Glasgow,no_41.3O,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39275;type=101
GMBC16,plate,Burrell_Glasgow,no_41.36,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39409;type=101
GMBC17,plate,Burrell_Glasgow,no_41.37,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39443;type=101
GMBC18,plate,Burrell_Glasgow,no_41.38,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39467;type=101
GMBC19,plate,Burrell_Glasgow,no_41.4O,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39233;type=101
GMBC20,plate,Burrell_Glasgow,no_41.42,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39435;type=101#
GMBC21,plate,Burrell_Glasgow,no_41.6,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39228;type=101
GMBC22,plate,Burrell_Glasgow,no_41.17,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39397;type=101
GMBC23,plate,Burrell_Glasgow,no_41.2O,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39490;type=101
GMBC24,plate,Burrell_Glasgow,no_41.35,web,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=39912;type=101
GULB02,plate,Gulbenkian_Lisbon,no_818,Rebeiro et al. 2013,p.41
GULB03,plate,Gulbenkian_Lisbon,no_806,Rebeiro et al. 2013,p.42
GULB04,plate,Gulbenkian_Lisbon,no_844,Rebeiro et al. 2013,p.46
GULB05,plate,Gulbenkian_Lisbon,no_773,Rebeiro et al. 2013,p.47
GULB06,plate,Gulbenkian_Lisbon,no_824,Rebeiro et al. 2013,p.61
GULB07,plate,Gulbenkian_Lisbon,no_854,Rebeiro et al. 2013,p.68
GULB08,jug,Gulbenkian_Lisbon,no_2074,Rebeiro et al. 2013,p.69
GULB09,plate,Gulbenkian_Lisbon,no_2243,Rebeiro et al. 2013,p.88
GULB10,plate,Gulbenkian_Lisbon,no_2245,Rebeiro et al. 2013,p.89
